stage,component,recipient,eur,status
1 platform,Cyprus labour (platform staff),CY,2.033888327672911,illustrative
1 platform,Cyprus taxes on production,CY,-0.004473871466814417,illustrative
1 platform,Cyprus: depreciation of platform capital,CY,0.19155233885544887,illustrative
1 platform,Cyprus corporate income tax on platform profit,CY,0.2793605396330962,illustrative
1 platform,Foreign capital income (ultimate owner),US,1.9555237774316734,illustrative
1 platform,Profit to non-foreign owners,CY,0.0,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A01),AT,1.6528240791015417e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A01),AU,4.722354511718691e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A01),BE,3.541765883789017e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A01),BR,2.3611772558593453e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A01),CA,4.722354511718691e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A01),CH,2.833412707031214e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A01),CONFIDENTIAL_PARTNERS,2.9011784942743777e-06,illustrative
2 suppliers,Cyprus suppliers' value added (A01),CY,0.0010591986519032784,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A01),CZ,9.444709023437381e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A01),DE,1.6528240791015417e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A01),DK,4.722354511718691e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A01),EL,1.1475321463476418e-06,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A01),ES,3.0695304326171486e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A01),FI,9.444709023437381e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A01),FR,1.8889418046874762e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A01),HU,2.3611772558593453e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A01),IE,7.083531767578035e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A01),IT,3.0695304326171486e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A01),JP,2.3611772558593453e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A01),LV,2.3611772558593453e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A01),NL,9.444709023437381e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A01),PT,4.722354511718691e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A01),RU,1.2278121730468594e-07,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A01),SE,4.722354511718691e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A01),SK,7.083531767578035e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A01),UK,9.680826749023313e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A01),US,3.0695304326171486e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A01),WORLD_UNALLOCATED,7.348729484759829e-06,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A01),ZA,2.3611772558593453e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A02),AT,1.5124845303194435e-10,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A02),AU,4.321384372341267e-11,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A02),BE,3.24103827925595e-10,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A02),BR,2.1606921861706336e-11,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A02),CA,4.321384372341267e-11,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A02),CH,2.59283062340476e-10,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A02),CONFIDENTIAL_PARTNERS,2.654842489147858e-08,illustrative
2 suppliers,Cyprus suppliers' value added (A02),CY,9.689945989168913e-06,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A02),CZ,8.642768744682535e-11,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A02),DE,1.5124845303194435e-10,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A02),DK,4.321384372341267e-11,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A02),EL,1.0500964024789279e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A02),ES,2.808899842021823e-10,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A02),FI,8.642768744682535e-11,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A02),FR,1.728553748936507e-10,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A02),HU,2.1606921861706336e-11,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A02),IE,6.4820765585119e-11,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A02),IT,2.808899842021823e-10,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A02),JP,2.1606921861706336e-11,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A02),LV,2.1606921861706336e-11,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A02),NL,8.642768744682535e-11,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A02),PT,4.321384372341267e-11,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A02),RU,1.1235599368087293e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A02),SE,4.321384372341267e-11,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A02),SK,6.4820765585119e-11,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A02),UK,8.858837963299596e-10,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A02),US,2.808899842021823e-10,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A02),WORLD_UNALLOCATED,6.486551057823113e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A02),ZA,2.1606921861706336e-11,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A03),AT,2.4626718079885665e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A03),AU,7.036205165681619e-10,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A03),BE,5.277153874261213e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A03),BR,3.5181025828408094e-10,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A03),CA,7.036205165681619e-10,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A03),CH,4.221723099408971e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A03),CONFIDENTIAL_PARTNERS,4.3226926435365025e-07,illustrative
2 suppliers,Cyprus suppliers' value added (A03),CY,0.00032836323645431904,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A03),CZ,1.4072410331363238e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A03),DE,2.4626718079885665e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A03),DK,7.036205165681619e-10,illustrative
