child_entity_id,parent_entity_id,share_pct,share_type,as_of_date,source,source_url,source_tier,confidence,notes
CY_BOC_PCL,IE_BOC_HOLDINGS,100,equity,2025-12-31,"Bank of Cyprus Holdings plc, Annual Financial Report 2025 (published 31 Mar 2026)",https://www.bankofcyprus.com/globalassets/group/investor-relations/annual-reports/english/20260331-afr-boch-group-31.12.2025.pdf,1,high,AFR 2025 list of main subsidiaries.
IE_BOC_HOLDINGS,CY_LAMESA_INVESTMENTS,9.50,voting,2026-03-11,"Bank of Cyprus Holdings plc, Annual Financial Report 2025 (published 31 Mar 2026)",https://www.bankofcyprus.com/globalassets/group/investor-relations/annual-reports/english/20260331-afr-boch-group-31.12.2025.pdf,1,high,"41,383,699 shares of 435,962,305. Also on IR major-holders page."
IE_BOC_HOLDINGS,US_SENVEST_MANAGEMENT,9.25,voting,2026-03-11,"Bank of Cyprus Holdings plc, Annual Financial Report 2025 (published 31 Mar 2026)",https://www.bankofcyprus.com/globalassets/group/investor-relations/annual-reports/english/20260331-afr-boch-group-31.12.2025.pdf,1,high,Shares; plus 0.36% via financial instruments (not included). 9.68% total on IR page (later notification).
IE_BOC_HOLDINGS,US_WELLINGTON_MANAGEMENT,4.94,voting,2026-03-11,"Bank of Cyprus Holdings plc, Annual Financial Report 2025 (published 31 Mar 2026)",https://www.bankofcyprus.com/globalassets/group/investor-relations/annual-reports/english/20260331-afr-boch-group-31.12.2025.pdf,1,high,
IE_BOC_HOLDINGS,CY_BANK_EMPLOYEES_PROVIDENT_FUND,4.76,voting,2026-03-11,"Bank of Cyprus Holdings plc, Annual Financial Report 2025 (published 31 Mar 2026)",https://www.bankofcyprus.com/globalassets/group/investor-relations/annual-reports/english/20260331-afr-boch-group-31.12.2025.pdf,1,high,
IE_BOC_HOLDINGS,US_EATON_VANCE_MANAGEMENT,3.75,voting,2026-03-11,"Bank of Cyprus Holdings plc, Annual Financial Report 2025 (published 31 Mar 2026)",https://www.bankofcyprus.com/globalassets/group/investor-relations/annual-reports/english/20260331-afr-boch-group-31.12.2025.pdf,1,high,3.35% at 31 Dec 2025; not listed on IR page at access date (may have fallen below 3%).
IE_BOC_HOLDINGS,UNRESOLVED_OSOME_INVESTMENTS,3.40,voting,2026-03-11,"Bank of Cyprus Holdings plc, Annual Financial Report 2025 (published 31 Mar 2026)",https://www.bankofcyprus.com/globalassets/group/investor-relations/annual-reports/english/20260331-afr-boch-group-31.12.2025.pdf,1,high,
IE_BOC_HOLDINGS,DISPERSED_FREE_FLOAT_IE_BOC_HOLDINGS,64.40,equity,2026-03-11,"Bank of Cyprus Holdings plc, Annual Financial Report 2025 (published 31 Mar 2026)",https://www.bankofcyprus.com/globalassets/group/investor-relations/annual-reports/english/20260331-afr-boch-group-31.12.2025.pdf,1,medium,"Computed residual 100-35.60; holders below 3% threshold, residence unknown."
CY_LAMESA_INVESTMENTS,VG_LAMESA_GROUP_INC,100,equity,2019-09-12,"Lamesa Investments Ltd v Cynergy Bank Ltd [2019] EWHC 1877 (Comm), judgment 12 Sep 2019, para on parties",https://www.brickcourt.co.uk/images/uploads/documents/CL-2018-000826_Lamesa_v_Cynergy_Final_Judgment-11.pdf,1,medium,'wholly owned by Lamesa Group Incorporated'. As of 2019.
VG_LAMESA_GROUP_INC,PERSON_VEKSELBERG_VIKTOR,100,equity,2019-09-12,"Lamesa Investments Ltd v Cynergy Bank Ltd [2019] EWHC 1877 (Comm), judgment 12 Sep 2019, para on parties",https://www.brickcourt.co.uk/images/uploads/documents/CL-2018-000826_Lamesa_v_Cynergy_Final_Judgment-11.pdf,1,medium,'LGI is wholly owned by Mr. Viktor Vekselberg'. As of 2019.
CY_EUROBANK_LTD,GR_EUROBANK_SA,100,equity,2025-12-03,"Eurobank S.A. Annual Financial Report for the year ended 31 Dec 2025 (Report of the Directors; note 44 operating segments), mirror of ATHEX/CSE announcement",https://www.stockwatch.com.cy/storage/symbol_announcements/69ae62e6d9336.pdf,1,high,93.47% (11 Feb 2025) -> 97.994% after takeover bid (25 Apr 2025) -> 100% after squeeze-out (11 Jun 2025); sole shareholder after 3 Dec 2025 merger steps.
CY_EUROBANK_CYPRUS_LTD,GR_EUROBANK_SA,100,equity,2025-08-29,"Eurobank S.A. Annual Financial Report for the year ended 31 Dec 2025 (Report of the Directors; note 44 operating segments), mirror of ATHEX/CSE announcement",https://www.stockwatch.com.cy/storage/symbol_announcements/69ae62e6d9336.pdf,1,high,"'wholly owned subsidiaries in Cyprus, i.e. Hellenic Bank and Eurobank Cyprus'. Dissolved Dec 2025."
GR_EUROBANK_SA,CA_FAIRFAX_FINANCIAL,32.67,voting,2025-12-12,"Eurobank S.A. Annual Financial Report for the year ended 31 Dec 2025 (Report of the Directors; note 44 operating segments), mirror of ATHEX/CSE announcement",https://www.stockwatch.com.cy/storage/symbol_announcements/69ae62e6d9336.pdf,1,high,"1,186,363,895 voting rights, direct and indirect; only >=5% holder reported."
GR_EUROBANK_SA,DISPERSED_FREE_FLOAT_GR_EUROBANK_SA,67.33,equity,2025-12-12,"Eurobank S.A. Annual Financial Report for the year ended 31 Dec 2025 (Report of the Directors; note 44 operating segments), mirror of ATHEX/CSE announcement",https://www.stockwatch.com.cy/storage/symbol_announcements/69ae62e6d9336.pdf,1,medium,Computed residual.
CA_FAIRFAX_FINANCIAL,UNRESOLVED,,equity,,"Eurobank S.A. Annual Financial Report for the year ended 31 Dec 2025 (Report of the Directors; note 44 operating segments), mirror of ATHEX/CSE announcement",https://www.stockwatch.com.cy/storage/symbol_announcements/69ae62e6d9336.pdf,1,low,Fairfax's own shareholders not researched; Canadian-listed.
CY_ALPHA_BANK_CYPRUS,GR_ALPHA_BANK_SA,100,equity,2025-02-28,"Retail Banker International, 'Alpha Bank Cyprus to buy AstroBank in EUR205m deal', 28 Feb 2025",https://www.retailbankerinternational.com/news/alpha-bank-cyprus-buy-astrobank/,3,medium,"'Alpha Bank Cyprus, a fully owned subsidiary of Alpha Holdings' (Alpha Services and Holdings, since merged into Alpha Bank S.A.). Tier 3 only: Alpha filings blocked."
GR_ALPHA_BANK_SA,IT_UNICREDIT,29.8,voting,2026-01-05,MarketScreener (relaying Alpha Bank regulatory announcement): 'Alpha Bank says Unicredit has 29.8% in voting rights and financial instruments which potentially give it another 2.27%'; UniCredit press release Jan 2026 (403 to automated fetch),https://www.marketscreener.com/news/alpha-bank-says-unicredit-has-29-8-in-voting-rights-and-financial-instruments-which-potentially-giv-ce7e59d3db80f023,3,medium,"Plus 2.27% via financial instruments (not included). Physical stake after conversion of synthetic position, per UniCredit PR (Jan 2026) as relayed."
GR_ALPHA_BANK_SA,DISPERSED_FREE_FLOAT_GR_ALPHA_BANK_SA,70.2,equity,2026-01-05,MarketScreener (relaying Alpha Bank regulatory announcement): 'Alpha Bank says Unicredit has 29.8% in voting rights and financial instruments which potentially give it another 2.27%'; UniCredit press release Jan 2026 (403 to automated fetch),https://www.marketscreener.com/news/alpha-bank-says-unicredit-has-29-8-in-voting-rights-and-financial-instruments-which-potentially-giv-ce7e59d3db80f023,3,low,Computed residual; other holders unverified.
IT_UNICREDIT,UNRESOLVED,,equity,,MarketScreener (relaying Alpha Bank regulatory announcement): 'Alpha Bank says Unicredit has 29.8% in voting rights and financial instruments which potentially give it another 2.27%'; UniCredit press release Jan 2026 (403 to automated fetch),https://www.marketscreener.com/news/alpha-bank-says-unicredit-has-29-8-in-voting-rights-and-financial-instruments-which-potentially-giv-ce7e59d3db80f023,3,low,UniCredit shareholder base not researched.
