child_entity_id,parent_entity_id,share_pct,share_type,as_of_date,source,source_url,source_tier,confidence,notes
CY_WOLT_CYPRUS,FI_WOLT_ENTERPRISES,100,equity,2026-09-24,Wolt Cyprus User Terms of Service (updated 06.08.2026),https://explore.wolt.com/en/cyp/terms,2,low,"INFERRED, not verified from a shareholder register: Cyprus Registrar shareholder data is paywalled (redacted on cyprusregistry.com). Evidence: Wolt Cyprus terms name Wolt Cyprus Ltd and Wolt Oy (2646674-9) as group entities; DoorDash Ex.21.1 (FY2025) states Wolt Oy has 46 omitted WHOLLY-OWNED direct subsidiaries operating abroad; directors are Wolt group staff. Wolt Cyprus is NOT itself named in Ex.21.1 and is not in GLEIF. Buy registrar extract (HE 404490) to confirm."
FI_WOLT_ENTERPRISES,US_DOORDASH,100,equity,2025-12-31,DoorDash Inc. Form 10-K FY2025 Exhibit 21.1 Subsidiaries,https://www.sec.gov/Archives/edgar/data/1792789/000179278926000013/dash-fy2510xkxexx211.htm,1,high,"Wolt Oy listed in DoorDash Ex.21.1 FY2025 (Finland); GLEIF direct parent of Wolt Oy = DoorDash, Inc.; acquisition of Wolt Enterprises Oy completed 31 May 2022 (10-K). 100% inferred from full acquisition (Share Purchase Agreement) and subsidiary listing; exhibit does not print a %."
US_DOORDASH,US_VANGUARD_GROUP,9.114,equity,2026-03-01,"DoorDash Inc. 2026 Proxy Statement (DEF 14A, filed 2026-04-20), Security Ownership table as of 2026-03-01",https://www.sec.gov/Archives/edgar/data/1792789/000179278926000018/dash-20260420.htm,1,medium,"39,828,909 Class A shares (proxy: 9.7% of Class A; 4.4% total voting power), based on 13G/A of 2025-05-07. Denominator = 412,560,024 Class A + 24,459,494 Class B shares outstanding at 2026-03-01 (437,019,518); computed by us from proxy share counts. Proxy notes Vanguard 13G/A of 2026-03-26 reported an internal realignment after which Vanguard no longer has beneficial ownership over these shares (subsidiaries may report separately) - treat as fund-complex holding."
US_DOORDASH,US_SEQUOIA_CAPITAL_ENTITIES,7.257,equity,2026-03-01,"DoorDash Inc. 2026 Proxy Statement (DEF 14A, filed 2026-04-20), Security Ownership table as of 2026-03-01",https://www.sec.gov/Archives/edgar/data/1792789/000179278926000018/dash-20260420.htm,1,high,"31,712,420 Class A shares (proxy 7.7% of Class A; 3.5% voting), per Form 4 of 2025-11-28. Denominator = 412,560,024 Class A + 24,459,494 Class B shares outstanding at 2026-03-01 (437,019,518); computed by us from proxy share counts."
US_DOORDASH,US_BLACKROCK,5.493,equity,2026-03-01,"DoorDash Inc. 2026 Proxy Statement (DEF 14A, filed 2026-04-20), Security Ownership table as of 2026-03-01",https://www.sec.gov/Archives/edgar/data/1792789/000179278926000018/dash-20260420.htm,1,medium,"24,007,000 Class A shares (proxy 5.8% of Class A; 2.7% voting), per 13G of 2025-04-23. Denominator = 412,560,024 Class A + 24,459,494 Class B shares outstanding at 2026-03-01 (437,019,518); computed by us from proxy share counts."
US_DOORDASH,PERSON_XU_TONY,2.540,equity,2026-03-01,"DoorDash Inc. 2026 Proxy Statement (DEF 14A, filed 2026-04-20), Security Ownership table as of 2026-03-01",https://www.sec.gov/Archives/edgar/data/1792789/000179278926000018/dash-20260420.htm,1,high,"Own holdings 1,583 Class A + 11,099,103 Class B (incl. trusts). Denominator = 412,560,024 Class A + 24,459,494 Class B shares outstanding at 2026-03-01 (437,019,518); computed by us from proxy share counts."
US_DOORDASH,PERSON_XU_TONY,55.5,voting,2026-03-01,"DoorDash Inc. 2026 Proxy Statement (DEF 14A, filed 2026-04-20), Security Ownership table as of 2026-03-01",https://www.sec.gov/Archives/edgar/data/1792789/000179278926000018/dash-20260420.htm,1,high,"Total voting power incl. irrevocable voting proxies over Class B shares of Fang and Tang (own shares alone: 24.0% voting). Control edge, not economic."
US_DOORDASH,DISPERSED_FREE_FLOAT_US_DOORDASH,75.596,equity,2026-03-01,"DoorDash Inc. 2026 Proxy Statement (DEF 14A, filed 2026-04-20), Security Ownership table as of 2026-03-01",https://www.sec.gov/Archives/edgar/data/1792789/000179278926000018/dash-20260420.htm,1,medium,Residual 100 - (9.114+7.257+5.493+2.540).
CY_DELIVERY_HERO_CYPRUS,DE_DELIVERY_HERO,100,equity,2025-12-31,"Delivery Hero SE Annual Financial Statement 2025 (HGB), Annex I List of Shareholdings",https://ir.deliveryhero.com/media/document/d7cd8a32-bb5e-48d0-a416-c38f9cad59e0/assets/DeliveryHeroSE_Annual_Financial.pdf,1,high,Share of capital 100.00% at 31.12.2025 (and 31.12.2024) in DH SE list of shareholdings; list does not distinguish direct vs indirect holding.
CY_FOOD_BASKET,DE_DELIVERY_HERO,100,equity,2025-12-31,"Delivery Hero SE Annual Financial Statement 2025 (HGB), Annex I List of Shareholdings",https://ir.deliveryhero.com/media/document/d7cd8a32-bb5e-48d0-a416-c38f9cad59e0/assets/DeliveryHeroSE_Annual_Financial.pdf,1,high,100.00% per DH list of shareholdings; see TRNC location flag on entity.
