entity_id,legal_name,country_of_incorporation,nace_code,sector,fiscal_year,revenue_eur_m,operating_profit_eur_m,ebitda_eur_m,employees,total_assets_eur_m,personnel_costs_eur_m,taxes_eur_m,dividends_paid_eur_m,source,source_url,source_tier,confidence,notes
CY_WOLT_CYPRUS,Wolt Cyprus Limited,CY,63,food_delivery_platform,,,,,,,,,,Wolt Cyprus User Terms of Service (updated 06.08.2026),https://explore.wolt.com/en/cyp/terms,2,high,"Reg. HE 404490, VAT CY10404490R, Digeni Akrita 26, 1055 Nicosia; incorporated 26/11/2019, status Active (Cyprus Registrar data via cyprusregistry.com). NACE 63 chosen (online intermediation platform; couriers are largely independent contractors/fleet partners); 53 would be the alternative. NO financial statements publicly available: Cyprus Registrar filings are paywalled (cyprusregistry.com EUR65 report; i-cyprus EUR50; companiesregistry.cy EUR49) and no press/Stockwatch report quoting Wolt Cyprus revenue/profit was found. See sources.md 'Wolt Cyprus worked example'."
FI_WOLT_ENTERPRISES,Wolt Oy (formerly Wolt Enterprises Oy),FI,63,holding,,,,,,,,,,GLEIF LEI record 74370029CGDFPB7BUN89 (Wolt Oy) incl. direct-parent relationship,https://api.gleif.org/api/v1/lei-records/74370029CGDFPB7BUN89,1,high,"Business ID 2646674-9, Helsinki. GLEIF lists previous legal name 'Wolt Enterprises Oy'. Operating parent of Wolt group (not a pure holding); financials not collected. DoorDash 10-K FY2025 Ex.21.1 lists 'Wolt Oy (46)' = 46 omitted wholly-owned direct subsidiaries operating outside the US."
US_DOORDASH,"DoorDash, Inc.",US,63,food_delivery_platform,2025,,,,,,,,,DoorDash Inc. Form 10-K FY2025 (filed 2026-02-18),https://www.sec.gov/Archives/edgar/data/1792789/000179278926000013/dash-20251231.htm,1,high,"Delaware corporation (GLEIF LEI 549300NUQ43FGGSK5051). Group-level FY2025 figures in USD (eur columns left blank): revenue USD 13,717m; income from operations USD 723m; provision for income taxes USD 7m; total assets USD 19,659m; >31,400 employees worldwide (31 Dec 2025). Revenue by geography (merchant address): United States USD 11,460m, International USD 2,257m (16.5% of total) in 2025; 2024 International USD 1,319m; no single non-US country >=10% of revenue. Cyprus not separately disclosed."
US_VANGUARD_GROUP,"The Vanguard Group, Inc.",US,,fund,,,,,,,,,,"DoorDash Inc. 2026 Proxy Statement (DEF 14A, filed 2026-04-20), Security Ownership table as of 2026-03-01",https://www.sec.gov/Archives/edgar/data/1792789/000179278926000018/dash-20260420.htm,1,medium,"Asset manager; address 100 Vanguard Blvd., Malvern, PA (proxy footnote). Holds on behalf of fund investors (beneficial economic owners dispersed, country UNRESOLVED). Incorporation state not stated in source; country = US by address."
US_SEQUOIA_CAPITAL_ENTITIES,"Sequoia Capital Fund, L.P. / Sequoia Capital Fund Parallel, LLC / SC US/E Expansion Fund I Management, L.P. (GP: SC US (TTGP), Ltd.)",UNRESOLVED,,fund,,,,,,,,,,"DoorDash Inc. 2026 Proxy Statement (DEF 14A, filed 2026-04-20), Security Ownership table as of 2026-03-01",https://www.sec.gov/Archives/edgar/data/1792789/000179278926000018/dash-20260420.htm,1,medium,"Proxy gives address 2800 Sand Hill Road, Menlo Park, CA for all Sequoia entities but not jurisdiction of organisation; LP investors unknown."
US_BLACKROCK,"BlackRock, Inc.",US,,fund,,,,,,,,,,"DoorDash Inc. 2026 Proxy Statement (DEF 14A, filed 2026-04-20), Security Ownership table as of 2026-03-01",https://www.sec.gov/Archives/edgar/data/1792789/000179278926000018/dash-20260420.htm,1,medium,"Asset manager; address 50 Hudson Yards, New York (proxy footnote). Country = US by address; holds for dispersed fund investors."
PERSON_XU_TONY,Tony Xu,UNRESOLVED,,person,,,,,,,,,,"DoorDash Inc. 2026 Proxy Statement (DEF 14A, filed 2026-04-20), Security Ownership table as of 2026-03-01",https://www.sec.gov/Archives/edgar/data/1792789/000179278926000018/dash-20260420.htm,1,medium,"DoorDash co-founder/CEO. Proxy address is c/o DoorDash, San Francisco (business address only); residence not documented; nationality not stated in source."
DISPERSED_FREE_FLOAT_US_DOORDASH,"Residual dispersed holders of DoorDash, Inc.",UNRESOLVED,,free_float,,,,,,,,,,"DoorDash Inc. 2026 Proxy Statement (DEF 14A, filed 2026-04-20), Security Ownership table as of 2026-03-01",https://www.sec.gov/Archives/edgar/data/1792789/000179278926000018/dash-20260420.htm,1,medium,Residual = 100 - documented holders; includes other directors (e.g. Andy Fang 5.90m and Stanley Tang 3.66m Class B shares).
CY_DELIVERY_HERO_CYPRUS,Delivery Hero (Cyprus) Ltd (brand: Foody),CY,63,food_delivery_platform,2025,,,,,,,,,"Delivery Hero SE Annual Financial Statement 2025 (HGB), Annex I List of Shareholdings",https://ir.deliveryhero.com/media/document/d7cd8a32-bb5e-48d0-a416-c38f9cad59e0/assets/DeliveryHeroSE_Annual_Financial.pdf,1,high,"Reg. HE369772, 5 Esperidon Str., 2001 Strovolos, Nicosia; operates the 'Foody' brand (Foody Terms of Service, 27 Jul 2023). DH list of shareholdings FY2025: equity EUR 0.87m at 31.12.2025, net income (loss) 2025 EUR -2.26m (these do not map to the operating-profit column; left blank). Revenue/employees not disclosed. Foody acquisition by Delivery Hero announced 4 Sep 2019 (Foody blog). Press (InBusinessNews 21 Mar 2022): 130 employees, 500+ riders, 2,100+ stores, >600,000 orders/month (Tier 3, 2022)."
CY_FOOD_BASKET,Food Basket Elektronik Iletisim Gida Ticaret Ltd.,CY,63,food_delivery_platform,2025,,,,,,,,,"Delivery Hero SE Annual Financial Statement 2025 (HGB), Annex I List of Shareholdings",https://ir.deliveryhero.com/media/document/d7cd8a32-bb5e-48d0-a416-c38f9cad59e0/assets/DeliveryHeroSE_Annual_Financial.pdf,1,medium,"Listed by Delivery Hero as 'Nicosia (CY)' but with functional currency TRY - almost certainly located in the northern (Turkish-Cypriot administered) part of Nicosia, outside the Republic of Cyprus' effective control; flag before including in RoC aggregates. Equity EUR 1.26m, net income 2025 EUR 1.12m (DH list of shareholdings)."
