entity_id,legal_name,country_of_incorporation,nace_code,sector,fiscal_year,revenue_eur_m,operating_profit_eur_m,ebitda_eur_m,employees,total_assets_eur_m,personnel_costs_eur_m,taxes_eur_m,dividends_paid_eur_m,source,source_url,source_tier,confidence,notes
CY_EAC,Electricity Authority of Cyprus (Αρχή Ηλεκτρισμού Κύπρου),CY,35,electricity,2024,1163.890,57.042,,,2436.605,,5.325,,"Αρχή Ηλεκτρισμού Κύπρου, Χωριστοί Λογαριασμοί 31 Δεκεμβρίου 2024 (EAC audited separated/unbundled accounts 2024, dated 15 Jul 2025), accessed via Wayback snapshot 20260120022317",https://www.eac.com.cy/EL/EAC/FinancialInformation/PublishingImages/Pages/separatedaccounts/%CE%A7%CF%89%CF%81%CE%B9%CF%83%CF%84%CE%BF%CE%AF%20%CE%9B%CE%BF%CE%B3%CE%B1%CF%81%CE%B9%CE%B1%CF%83%CE%BC%CE%BF%CE%AF%202024.pdf,1,high,"Public-law body (Οργανισμός Δημοσίου Δικαίου) est. under Electricity Development Law Cap.171 (1952); board appointed by Council of Ministers. Figures = 'Γενικό Σύνολο' column of audited separated accounts FY2024 (Cyprus-only): revenue = 'Εισόδημα' (total income incl. other operating income/gains = 1191.308); operating profit = 'Κέρδος εργασιών'; taxes = income-tax charge (Χρέωση φορολογίας); total assets = Σύνολο περιουσιακών στοιχείων. Profit for year 37.342. Personnel costs not printed as a single total (note 11 gives 'Μισθοί & εργοδοτικές εισφορές' only per activity; activity columns Generation 32.367 + TSO 10.746 + Distribution 54.310 + Supply 10.151 + Other 1.952 = 109.526 computed, not printed) -> left blank. Employees, EBITDA, dividends not found. FY2025 statutory statements not retrieved: eac.com.cy refused connections on 2026-09-24; Wayback copy of Annual Report 2023 truncated at 5 MiB."
STATE_CY,Republic of Cyprus,CY,,state,,,,,,,,,,"Αρχή Ηλεκτρισμού Κύπρου, Χωριστοί Λογαριασμοί 31 Δεκεμβρίου 2024 (EAC audited separated/unbundled accounts 2024, dated 15 Jul 2025), accessed via Wayback snapshot 20260120022317",https://www.eac.com.cy/EL/EAC/FinancialInformation/PublishingImages/Pages/separatedaccounts/%CE%A7%CF%89%CF%81%CE%B9%CF%83%CF%84%CE%BF%CE%AF%20%CE%9B%CE%BF%CE%B3%CE%B1%CF%81%CE%B9%CE%B1%CF%83%CE%BC%CE%BF%CE%AF%202024.pdf,1,high,
CY_PETROLINA_HOLDINGS,Petrolina (Holdings) Public Ltd,CY,46,fuel_wholesale_retail,2025,559.416,5.831,18.778,,404.470,16.704,0.427,3.675,"Petrolina (Holdings) Public Ltd, Annual Report 2025 (Ετήσια Έκθεση 2025), consolidated",https://www.petrolina.com.cy/library/download/MjAzNQ==,1,high,CSE-listed. GROUP consolidated figures incl. Greece: geographic split of revenue 2025 Cyprus 398.989 / Greece 160.426 (note 5). Operating profit = 'Κέρδος από εργασίες'; EBITDA as printed in note 35.5; personnel = note 10 Δαπάνες προσωπικού; taxes = income-tax charge (tax paid 0.288); dividends = cash-flow 'Μέρισμα που πληρώθηκε'. Employee count not found in report. Fuel retail (Petrolina/Agip-branded stations) + LPG. Owns eWise Cyprus (ex-ExxonMobil Cyprus) from 30 Jan 2026 (post-FY2025; not in these figures).
CY_PETROLINA_LTD,Petrolina Ltd,CY,,holding,,,,,,,,,,"Petrolina (Holdings) Public Ltd, Annual Report 2025 (Ετήσια Έκθεση 2025), consolidated",https://www.petrolina.com.cy/library/download/MjAzNQ==,1,medium,Private holding company; holds 34.4816% of Petrolina (Holdings) Public Ltd; Dinos Lefkaritis controls >20% of it (AR 2025). Country assumed CY from Cypriot 'Ltd' naming and AR context - registry entry not fetched.
PERSON_LEFKARITIS_DINOS,Dinos (Ντίνος) Lefkaritis,UNRESOLVED,,person,,,,,,,,,,"Petrolina (Holdings) Public Ltd, Annual Report 2025 (Ετήσια Έκθεση 2025), consolidated",https://www.petrolina.com.cy/library/download/MjAzNQ==,1,high,"CEO/executive director of Petrolina (Holdings) Public Ltd (Larnaca). Residence not documented in sources consulted; likely CY (Cypriot family business) - nationality only: CY (assumed from context, not documented)."
FAMILY_LEFKARITIS,Lefkaritis family (other documented members),UNRESOLVED,,family,,,,,,,,,,"Petrolina (Holdings) Public Ltd, Annual Report 2025 (Ετήσια Έκθεση 2025), consolidated",https://www.petrolina.com.cy/library/download/MjAzNQ==,1,medium,Aggregate of Lefkaritis family holdings disclosed in Petrolina AR2025 other than Petrolina Ltd and Dinos Lefkaritis direct: Dinos's children 0.1142; Marios Lefkaritis group 6.0457; Georgia Lefkariti Ioannou group 3.2996; Antonia Lefkariti group 2.4077; Maria Loula Lefkariti group 2.9598. Residence not documented; nationality only: CY (assumed from context).
PERSON_THEOFANOUS_ILIANA,Iliana (Ηλιάνα) Theofanous,UNRESOLVED,,person,,,,,,,,,,"Petrolina (Holdings) Public Ltd, Annual Report 2025 (Ετήσια Έκθεση 2025), consolidated",https://www.petrolina.com.cy/library/download/MjAzNQ==,1,high,Substantial holder (5.0286%) of Petrolina (Holdings); residence and nationality not documented.
DISPERSED_FREE_FLOAT_CY_PETROLINA_HOLDINGS,Petrolina (Holdings) - residual free float,UNRESOLVED,,free_float,,,,,,,,,,"Petrolina (Holdings) Public Ltd, Annual Report 2025 (Ετήσια Έκθεση 2025), consolidated",https://www.petrolina.com.cy/library/download/MjAzNQ==,1,medium,Residual after documented >5% holders and director-related Lefkaritis holdings (AR2025). Includes small director holdings (e.g. Kalopetrides 0.0142%).
CY_MED_ENERGYWISE,Med Energywise Ltd (HE 466686),CY,,holding,,,,,,,,,,"Petrolina (Holdings) Public Ltd, Annual Report 2025 (Ετήσια Έκθεση 2025), consolidated",https://www.petrolina.com.cy/library/download/MjAzNQ==,1,high,100% subsidiary of Petrolina (Holdings); holding company of eWise Cyprus Ltd (AR2025 note 37).
CY_EWISE_CYPRUS,eWise Cyprus Ltd (formerly ExxonMobil Cyprus Limited),CY,46,fuel_wholesale_retail,,,,,,,,,,"Petrolina (Holdings) Public Ltd, Annual Report 2025 (Ετήσια Έκθεση 2025), consolidated",https://www.petrolina.com.cy/library/download/MjAzNQ==,1,medium,"Esso-branded network (68 stations per Nov-2024 deal announcement, CBN/Cyprus Mail). Acquired 100% by Med Energywise Ltd on 30 Jan 2026 for EUR 45.1m (Petrolina AR2025 note 38 + completion announcement; press gives 31 Jan in one place, AR says 30 Jan). Former parent ExxonMobil group. No FY2025 financials retrieved (not consolidated in Petrolina FY2025). Country CY assumed (Cypriot 'Ltd'; registry not fetched)."
