child_entity_id,parent_entity_id,share_pct,share_type,as_of_date,source,source_url,source_tier,confidence,notes
CY_KPMG_LIMITED,CY_KPMG_PARTNERS,100,equity,2025-12-31,"KPMG in Cyprus Transparency Report 2025 (KPMG Limited, FY ended 31 Dec 2025)",https://assets.kpmg.com/content/dam/kpmgsites/cy/pdf/2026/transparency-report-2025.pdf.coredownload.inline.pdf,1,high,"""ultimately owned by its partners"" (sec. 2.4.1); intermediate vehicles, if any, not disclosed."
CY_PWC_LIMITED,CY_PWC_PARTNERS,100,equity,2025-06-30,PwC Cyprus Transparency Report 1 July 2024 - 30 June 2025 (PricewaterhouseCoopers Limited),https://www.pwc.com.cy/en/publications/assets/fy25-transparency-report.pdf,1,high,"""It is wholly owned by professional practitioners working with the firm"" (Legal structure and ownership section)."
CY_DELOITTE_LIMITED,CY_DELOITTE_HOLDINGS,100,equity,2025-05-31,"Deloitte Limited (Cyprus) 2025 Transparency Report, 30 Sep 2025 (FY ended 31 May 2025)",https://www.deloitte.com/content/dam/assets-zone2/cy/en/docs/about/2025/deloitte-transparency-report-2025.pdf,1,high,"""Deloitte Limited is a wholly owned subsidiary of Deloitte Holdings Limited""."
CY_DELOITTE_HOLDINGS,IE_DELOITTE_NSE_NO2_CLG,,voting,2025-05-31,"Deloitte Limited (Cyprus) 2025 Transparency Report, 30 Sep 2025 (FY ended 31 May 2025)",https://www.deloitte.com/content/dam/assets-zone2/cy/en/docs/about/2025/deloitte-transparency-report-2025.pdf,1,medium,"""The majority voting rights in DHL are held by"" the Irish CLG; exact % not printed (>50% voting). Economic split among DHL shareholders not disclosed."
CY_DELOITTE_HOLDINGS,GG_DELOITTE_TOUCHE_ME_LLP,,equity,2025-05-31,"Deloitte Limited (Cyprus) 2025 Transparency Report, 30 Sep 2025 (FY ended 31 May 2025)",https://www.deloitte.com/content/dam/assets-zone2/cy/en/docs/about/2025/deloitte-transparency-report-2025.pdf,1,medium,"Named as ""other shareholder"" of DHL; % not printed."
CY_DELOITTE_HOLDINGS,CY_DELOITTE_CYPRUS_PARTNERSHIP,,equity,2025-05-31,"Deloitte Limited (Cyprus) 2025 Transparency Report, 30 Sep 2025 (FY ended 31 May 2025)",https://www.deloitte.com/content/dam/assets-zone2/cy/en/docs/about/2025/deloitte-transparency-report-2025.pdf,1,medium,"Named as ""other shareholder"" of DHL; % not printed."
IE_DELOITTE_NSE_NO2_CLG,UNRESOLVED,,voting,2025-05-31,"Deloitte Limited (Cyprus) 2025 Transparency Report, 30 Sep 2025 (FY ended 31 May 2025)",https://www.deloitte.com/content/dam/assets-zone2/cy/en/docs/about/2025/deloitte-transparency-report-2025.pdf,1,low,Company limited by guarantee (no share capital); members/guarantors not disclosed in TR.
GG_DELOITTE_TOUCHE_ME_LLP,UNRESOLVED,,equity,2025-05-31,"Deloitte Limited (Cyprus) 2025 Transparency Report, 30 Sep 2025 (FY ended 31 May 2025)",https://www.deloitte.com/content/dam/assets-zone2/cy/en/docs/about/2025/deloitte-transparency-report-2025.pdf,1,low,LLP members not disclosed in TR.
CY_ERNST_YOUNG_CYPRUS_LIMITED,CY_ERNST_YOUNG_PARTNERSHIP,100,equity,2025-06-30,EY Cyprus Transparency Report 2025 (FY ended 30 June 2025),https://www.ey.com/content/dam/ey-unified-site/ey-com/en-cy/services/audit-quality/documents/ey-cyprus-transparency-report-fy25.pdf,1,medium,"TR: ""Ernst & Young Cyprus Limited economic rights are held by Ernst & Young partnership""; 100% implied by wording, not printed as a number."
CY_ERNST_YOUNG_CYPRUS_LIMITED,BE_EY_EUROPE_SRL,100,voting,2025-06-30,EY Cyprus Transparency Report 2025 (FY ended 30 June 2025),https://www.ey.com/content/dam/ey-unified-site/ey-com/en-cy/services/audit-quality/documents/ey-cyprus-transparency-report-fy25.pdf,1,medium,"TR: ""Ernst & Young Cyprus Limited voting rights are held by EY Europe SRL""; 100% implied by wording. Voting control != economic ownership."
CY_EY_CYPRUS_ADVISORY_SERVICES,CY_ERNST_YOUNG_PARTNERSHIP,100,equity,2025-06-30,EY Cyprus Transparency Report 2025 (FY ended 30 June 2025),https://www.ey.com/content/dam/ey-unified-site/ey-com/en-cy/services/audit-quality/documents/ey-cyprus-transparency-report-fy25.pdf,1,medium,"""EY Cyprus Advisory Services Limited is owned by the Ernst & Young partnership""; 100% implied."
CY_ERNST_YOUNG_PARTNERSHIP,CY_EY_PARTNERS,,equity,2025-06-30,EY Cyprus Transparency Report 2025 (FY ended 30 June 2025),https://www.ey.com/content/dam/ey-unified-site/ey-com/en-cy/services/audit-quality/documents/ey-cyprus-transparency-report-fy25.pdf,1,medium,Partnership partners = EY partners + a Cyprus entity controlled by EY Europe SRL; profit shares not disclosed.
CY_ERNST_YOUNG_PARTNERSHIP,BE_EY_EUROPE_SRL,,equity,2025-06-30,EY Cyprus Transparency Report 2025 (FY ended 30 June 2025),https://www.ey.com/content/dam/ey-unified-site/ey-com/en-cy/services/audit-quality/documents/ey-cyprus-transparency-report-fy25.pdf,1,low,"Via an unnamed Cyprus-registered entity ""ultimately controlled by EY Europe SRL""; share not disclosed."
BE_EY_EUROPE_SRL,UNRESOLVED,,equity,2025-06-30,EY Cyprus Transparency Report 2025 (FY ended 30 June 2025),https://www.ey.com/content/dam/ey-unified-site/ey-com/en-cy/services/audit-quality/documents/ey-cyprus-transparency-report-fy25.pdf,1,low,"""EY member firms in the EEA and several other countries hold interests in EY Europe""; holdings not disclosed."
CY_LOUIS_PLC,CY_CLIN_COMPANY,66.968,equity,2026-04-25,Louis plc Annual Report & Consolidated Financial Statements 2025 (Greek),https://www.louisplc.com/wp-content/uploads/2026/05/Louis-plc-FS25.pdf,1,high,Corporate governance report: >5% holders at 25 Apr 2026 - Kostakis Loizou 66.968% which includes that of parent Clin Company Ltd holding 66.968%.
CY_LOUIS_PLC,DISPERSED_FREE_FLOAT_CY_LOUIS_PLC,33.032,equity,2026-04-25,Louis plc Annual Report & Consolidated Financial Statements 2025 (Greek),https://www.louisplc.com/wp-content/uploads/2026/05/Louis-plc-FS25.pdf,1,medium,Residual; no other >5% holder.
CY_CLIN_COMPANY,PERSON_LOIZOU_KOSTAKIS,,voting,2025-12-31,Louis plc Annual Report & Consolidated Financial Statements 2025 (Greek),https://www.louisplc.com/wp-content/uploads/2026/05/Louis-plc-FS25.pdf,1,high,"""Το τελικό ελέγχον πρόσωπο ... είναι ο κ. Κωστάκης Λοΐζου"" (ultimate controlling person); his % in Clin not disclosed."
CY_LEPTOS_CALYPSO_HOTELS,CY_ARMONIA_ESTATES,36.97,equity,2025-12-31,"Leptos Calypso Hotels Public Ltd Report & Consolidated Financial Statements 31 Dec 2025 (Greek, full)",https://leptoscalypso.com.cy/wp-content/uploads/2026/05/Leptos-Calypso-Hotels-Public-Limited-Consolidated-FS-2025-Greek.pdf,1,high,>5% holders note (same % at 25 Apr 2026).
CY_LEPTOS_CALYPSO_HOTELS,XX_M_LEPTOS_HOLDINGS,5.93,equity,2025-12-31,"Leptos Calypso Hotels Public Ltd Report & Consolidated Financial Statements 31 Dec 2025 (Greek, full)",https://leptoscalypso.com.cy/wp-content/uploads/2026/05/Leptos-Calypso-Hotels-Public-Limited-Consolidated-FS-2025-Greek.pdf,1,high,>5% holders note.
CY_LEPTOS_CALYPSO_HOTELS,CY_PANDORA_INVESTMENTS,13.62,equity,2025-12-31,"Leptos Calypso Hotels Public Ltd Report & Consolidated Financial Statements 31 Dec 2025 (Greek, full)",https://leptoscalypso.com.cy/wp-content/uploads/2026/05/Leptos-Calypso-Hotels-Public-Limited-Consolidated-FS-2025-Greek.pdf,1,high,">5% holders note (""Πανδώρα Επενδύσεις Δημόσια Λίμιτεδ"")."
CY_LEPTOS_CALYPSO_HOTELS,DISPERSED_FREE_FLOAT_CY_LEPTOS_CALYPSO_HOTELS,43.48,equity,2025-12-31,"Leptos Calypso Hotels Public Ltd Report & Consolidated Financial Statements 31 Dec 2025 (Greek, full)",https://leptoscalypso.com.cy/wp-content/uploads/2026/05/Leptos-Calypso-Hotels-Public-Limited-Consolidated-FS-2025-Greek.pdf,1,medium,Residual after three >5% holders; see entity note.
CY_ARMONIA_ESTATES,PERSON_LEPTOS_GEORGIOS,,voting,2025-12-31,"Leptos Calypso Hotels Public Ltd Report & Consolidated Financial Statements 31 Dec 2025 (Greek, full)",https://leptoscalypso.com.cy/wp-content/uploads/2026/05/Leptos-Calypso-Hotels-Public-Limited-Consolidated-FS-2025-Greek.pdf,1,medium,"""Ελέγχονται άμεσα ή/και έμμεσα από τον κ. Γιώργο Μ. Λεπτό και κ. Παντελή Μ. Λεπτό"" - joint control; individual % not disclosed."
CY_ARMONIA_ESTATES,PERSON_LEPTOS_PANTELIS,,voting,2025-12-31,"Leptos Calypso Hotels Public Ltd Report & Consolidated Financial Statements 31 Dec 2025 (Greek, full)",https://leptoscalypso.com.cy/wp-content/uploads/2026/05/Leptos-Calypso-Hotels-Public-Limited-Consolidated-FS-2025-Greek.pdf,1,medium,"""Ελέγχονται άμεσα ή/και έμμεσα από τον κ. Γιώργο Μ. Λεπτό και κ. Παντελή Μ. Λεπτό"" - joint control; individual % not disclosed."
XX_M_LEPTOS_HOLDINGS,PERSON_LEPTOS_GEORGIOS,,voting,2025-12-31,"Leptos Calypso Hotels Public Ltd Report & Consolidated Financial Statements 31 Dec 2025 (Greek, full)",https://leptoscalypso.com.cy/wp-content/uploads/2026/05/Leptos-Calypso-Hotels-Public-Limited-Consolidated-FS-2025-Greek.pdf,1,medium,"""Ελέγχονται άμεσα ή/και έμμεσα από τον κ. Γιώργο Μ. Λεπτό και κ. Παντελή Μ. Λεπτό"" - joint control; individual % not disclosed."
XX_M_LEPTOS_HOLDINGS,PERSON_LEPTOS_PANTELIS,,voting,2025-12-31,"Leptos Calypso Hotels Public Ltd Report & Consolidated Financial Statements 31 Dec 2025 (Greek, full)",https://leptoscalypso.com.cy/wp-content/uploads/2026/05/Leptos-Calypso-Hotels-Public-Limited-Consolidated-FS-2025-Greek.pdf,1,medium,"""Ελέγχονται άμεσα ή/και έμμεσα από τον κ. Γιώργο Μ. Λεπτό και κ. Παντελή Μ. Λεπτό"" - joint control; individual % not disclosed."
CY_PANDORA_INVESTMENTS,PERSON_LEPTOS_GEORGIOS,37.49,equity,2025-12-31,Reporter.com.cy (InBusinessNews) 24 Jan 2026: Major shareholders of 40 Cypriot listed companies (CSE dispersion statements 31 Dec 2025),https://www.reporter.com.cy/article/1379146/oi-meglometochoi-40-etaireion-tis-kyproy-oi-anakatataxeis-sta-metochika-kefalaia-ton-eisigenon,3,medium,"Press table of CSE dispersion statements: via Armonia Estates Ltd and Conversa Investments Ltd, linked to George Leptos 37.49%. Attribution may overlap with brother via jointly controlled vehicles."
CY_PANDORA_INVESTMENTS,PERSON_LEPTOS_PANTELIS,37.50,equity,2025-12-31,Reporter.com.cy (InBusinessNews) 24 Jan 2026: Major shareholders of 40 Cypriot listed companies (CSE dispersion statements 31 Dec 2025),https://www.reporter.com.cy/article/1379146/oi-meglometochoi-40-etaireion-tis-kyproy-oi-anakatataxeis-sta-metochika-kefalaia-ton-eisigenon,3,medium,Same source; linked to Pantelis Leptos 37.50%.
CY_PANDORA_INVESTMENTS,DISPERSED_FREE_FLOAT_CY_PANDORA_INVESTMENTS,24.05,equity,2025-12-31,Reporter.com.cy (InBusinessNews) 24 Jan 2026: Major shareholders of 40 Cypriot listed companies (CSE dispersion statements 31 Dec 2025),https://www.reporter.com.cy/article/1379146/oi-meglometochoi-40-etaireion-tis-kyproy-oi-anakatataxeis-sta-metochika-kefalaia-ton-eisigenon,3,medium,"Press: ""Διασπορά στο ευρύ κοινό 24,05%""."
CY_PANDORA_INVESTMENTS,UNRESOLVED,0.96,equity,2025-12-31,Reporter.com.cy (InBusinessNews) 24 Jan 2026: Major shareholders of 40 Cypriot listed companies (CSE dispersion statements 31 Dec 2025),https://www.reporter.com.cy/article/1379146/oi-meglometochoi-40-etaireion-tis-kyproy-oi-anakatataxeis-sta-metochika-kefalaia-ton-eisigenon,3,low,Residual 100-37.49-37.50-24.05 not attributed by source.
