entity_id,legal_name,country_of_incorporation,nace_code,sector,fiscal_year,revenue_eur_m,operating_profit_eur_m,ebitda_eur_m,employees,total_assets_eur_m,personnel_costs_eur_m,taxes_eur_m,dividends_paid_eur_m,source,source_url,source_tier,confidence,notes
CY_KPMG_LIMITED,KPMG Limited,CY,69,professional_services,2025,50.878,,,730,,,,,"KPMG in Cyprus Transparency Report 2025 (KPMG Limited, FY ended 31 Dec 2025)",https://assets.kpmg.com/content/dam/kpmgsites/cy/pdf/2026/transparency-report-2025.pdf.coredownload.inline.pdf,1,high,"Reg. HE 132822. Revenue = total gross revenue of all KPMG entities in Cyprus FY2025 (KPMG Limited alone EUR 49.485m; KPMG Law firm Theodorides Georgiou Iacovou & Co LLC EUR 1.393m); net basis EUR 45.9m. Employees = average of 730 professionals. Report states EUR 17.6m contribution to government revenues incl. income tax, SDC, PAYE, VAT, GHS, social insurance - NOT a corporate tax figure, so taxes left blank. Cyprus operations only."
CY_KPMG_PARTNERS,Partners of KPMG Limited (Cyprus),CY,,partners,,,,,,,,,,"KPMG in Cyprus Transparency Report 2025 (KPMG Limited, FY ended 31 Dec 2025)",https://assets.kpmg.com/content/dam/kpmgsites/cy/pdf/2026/transparency-report-2025.pdf.coredownload.inline.pdf,1,medium,"TR: KPMG Limited ""is ultimately owned by its partners who are also Board Members in the company"". Country CY INFERRED from partners practising in the Cyprus firm; individual tax residence not stated. Number of partners not stated in extracted text."
CY_PWC_LIMITED,PricewaterhouseCoopers Limited,CY,69,professional_services,2025,86.0,,,,,,,,PwC Cyprus Transparency Report 1 July 2024 - 30 June 2025 (PricewaterhouseCoopers Limited),https://www.pwc.com.cy/en/publications/assets/fy25-transparency-report.pdf,1,high,"Reg. 143594. FY = 1 Jul 2024-30 Jun 2025. Revenue = total turnover of all PwC entities in Cyprus, gross (audit firm alone EUR 82.0m; S.A. Evangelou & Co LLC + PwC Corporate Secretarial Services EUR 4.0m); net basis EUR 80.3m. PwC Cyprus Annual Review 2025 reports >1,100 people (not exact, so employees blank) and EUR 28.9m total contribution to government revenues (incl. PAYE, VAT etc.; not corporate tax, left blank)."
CY_PWC_PARTNERS,Partners of PricewaterhouseCoopers Limited (Cyprus),CY,,partners,,,,,,,,,,PwC Cyprus Transparency Report 1 July 2024 - 30 June 2025 (PricewaterhouseCoopers Limited),https://www.pwc.com.cy/en/publications/assets/fy25-transparency-report.pdf,1,medium,"TR: ""wholly owned by professional practitioners working with the firm, commonly referred to as Partners""; 35 Partners at 30 Jun 2025. Country CY INFERRED from partners working with the Cyprus firm; individual tax residence not stated."
CY_DELOITTE_LIMITED,Deloitte Limited,CY,69,professional_services,2025,58.8,,,,,,,,"Deloitte Limited (Cyprus) 2025 Transparency Report, 30 Sep 2025 (FY ended 31 May 2025)",https://www.deloitte.com/content/dam/assets-zone2/cy/en/docs/about/2025/deloitte-transparency-report-2025.pdf,1,high,"Reg. HE 162812. FY ended 31 May 2025. Revenue = total turnover of all Deloitte entities in Cyprus, gross (Deloitte Limited alone EUR 46.2m; Deloitte Actuarial Services, Hadjianastassiou Ioannides LLC, DTME Services EUR 12.6m); net basis EUR 54.7m. Report cites EUR 15.9m contribution to state revenues (not corporate tax; blank). Employees not printed in extracted text."
CY_DELOITTE_HOLDINGS,Deloitte Holdings Limited,CY,64,holding,,,,,,,,,,"Deloitte Limited (Cyprus) 2025 Transparency Report, 30 Sep 2025 (FY ended 31 May 2025)",https://www.deloitte.com/content/dam/assets-zone2/cy/en/docs/about/2025/deloitte-transparency-report-2025.pdf,1,high,Reg. HE 213442; private limited company registered in Cyprus.
IE_DELOITTE_NSE_NO2_CLG,Deloitte NSE No2 Company Limited By Guarantee,IE,64,holding,,,,,,,,,,"Deloitte Limited (Cyprus) 2025 Transparency Report, 30 Sep 2025 (FY ended 31 May 2025)",https://www.deloitte.com/content/dam/assets-zone2/cy/en/docs/about/2025/deloitte-transparency-report-2025.pdf,1,high,Irish company limited by guarantee; holds majority voting rights in DHL. Linked to Deloitte North and South Europe (NSE) LLP; its members not disclosed.
GG_DELOITTE_TOUCHE_ME_LLP,Deloitte & Touche (M.E.) LLP,GG,64,holding,,,,,,,,,,"Deloitte Limited (Cyprus) 2025 Transparency Report, 30 Sep 2025 (FY ended 31 May 2025)",https://www.deloitte.com/content/dam/assets-zone2/cy/en/docs/about/2025/deloitte-transparency-report-2025.pdf,1,high,LLP incorporated and registered in Guernsey; affiliate of Deloitte NSE LLP for Middle East and Cyprus; members not disclosed.
CY_DELOITTE_CYPRUS_PARTNERSHIP,Deloitte Cyprus (partnership),CY,,partners,,,,,,,,,,"Deloitte Limited (Cyprus) 2025 Transparency Report, 30 Sep 2025 (FY ended 31 May 2025)",https://www.deloitte.com/content/dam/assets-zone2/cy/en/docs/about/2025/deloitte-transparency-report-2025.pdf,1,high,"""a partnership registered in Cyprus""; sub-licensed affiliate of NSE. Individual partners and their residence not listed."
CY_ERNST_YOUNG_CYPRUS_LIMITED,Ernst & Young Cyprus Limited,CY,69,professional_services,2025,55.6,,,,,,,,EY Cyprus Transparency Report 2025 (FY ended 30 June 2025),https://www.ey.com/content/dam/ey-unified-site/ey-com/en-cy/services/audit-quality/documents/ey-cyprus-transparency-report-fy25.pdf,1,high,"Reg. HE 222520. FY ended 30 Jun 2025. Revenue = total revenue of all EY entities in Cyprus, gross (Ernst & Young Cyprus Limited alone EUR 23.5m; EY Cyprus Advisory Services Ltd + Koukounis Karaolis LLC EUR 32.1m). Revenue row therefore covers CY_EY_CYPRUS_ADVISORY_SERVICES too - do not double count. Employees not extracted."
CY_EY_CYPRUS_ADVISORY_SERVICES,EY Cyprus Advisory Services Limited,CY,70,professional_services,,,,,,,,,,EY Cyprus Transparency Report 2025 (FY ended 30 June 2025),https://www.ey.com/content/dam/ey-unified-site/ey-com/en-cy/services/audit-quality/documents/ey-cyprus-transparency-report-fy25.pdf,1,high,Reg. HE 428795; non-assurance services since 5 Mar 2022. Financials included in CY_ERNST_YOUNG_CYPRUS_LIMITED revenue row (all-Cyprus total); left blank here to avoid double counting.
