child_entity_id,parent_entity_id,share_pct,share_type,as_of_date,source,source_url,source_tier,confidence,notes
CY_ERB_CYPRUS_INSURANCE_HOLDINGS,CY_EUROBANK_LTD,100,equity,2025-04-16,Eurobank S.A. Annual Financial Report 2025 (Report of the Directors; note 23.4; Group companies table with footnote (2)),https://www.stockwatch.com.cy/storage/symbol_announcements/69ae62e6d9336.pdf,1,high,"Hellenic Bank (now Eurobank Limited) acquired entire share capital from CNP Assurances on 16 Apr 2025. CY_EUROBANK_LTD and upstream (Eurobank S.A., Fairfax) are defined in the banking fragment."
CY_ERB_CYPRIALIFE,CY_ERB_CYPRUS_INSURANCE_HOLDINGS,100,equity,2025-12-31,Eurobank S.A. Annual Financial Report 2025 (Report of the Directors; note 23.4; Group companies table with footnote (2)),https://www.stockwatch.com.cy/storage/symbol_announcements/69ae62e6d9336.pdf,1,medium,"Eurobank group table shows ERB Cyprialife Ltd at 100% with footnote: ""CNP Cyprus Insurance Holdings Limited and its subsidiaries"" acquired April 2025. Direct parent = the holdings company inferred from that footnote (effective group holding 100%)."
CY_ERB_ASFALISTIKI,CY_ERB_CYPRUS_INSURANCE_HOLDINGS,100,equity,2025-12-31,Eurobank S.A. Annual Financial Report 2025 (Report of the Directors; note 23.4; Group companies table with footnote (2)),https://www.stockwatch.com.cy/storage/symbol_announcements/69ae62e6d9336.pdf,1,medium,"As for ERB Cyprialife. PENDING: Fairfax affiliates to acquire 45% (term sheet 13 Oct 2025, EUR59m) - not recorded as an edge."
CY_EUROLIFE,IE_BOC_HOLDINGS,100,equity,2025-12-31,"Bank of Cyprus Holdings plc Annual Financial Report 2025, note 49 Group companies",https://www.bankofcyprus.com/globalassets/group/investor-relations/annual-reports/english/20260331-afr-boch-group-31.12.2025.pdf,1,high,"Held by Bank of Cyprus Holdings plc ""directly or indirectly"" (note 49). Source doc on file: docs/boch_afr_2025.txt. IE_BOC_HOLDINGS defined in banking fragment."
CY_GIC,IE_BOC_HOLDINGS,100,equity,2025-12-31,"Bank of Cyprus Holdings plc Annual Financial Report 2025, note 49 Group companies",https://www.bankofcyprus.com/globalassets/group/investor-relations/annual-reports/english/20260331-afr-boch-group-31.12.2025.pdf,1,high,As for EuroLife (note 49).
CY_UNIVERSAL_LIFE,CY_PHOTOS_PHOTIADES_GROUP,58.38,equity,2025-04-07,"Universal Life Insurance Public Company Ltd, Financial Report 2024 (English translation of audited consolidated FS): Major Shareholders section and note 34",https://www.universallife.com.cy/library/download/NjY3,1,high,"Major shareholders table at 31 Dec 2024 and 7 Apr 2025; FY2025 shareholder table not published in AR 2025 summary. Note 34: PPG controls; ""remaining percentage widely dispersed"". Pending Alpha Bank/Altius merger would dilute to minority."
CY_UNIVERSAL_LIFE,CY_EUROBANK_LTD,18.58,equity,2025-04-07,"Universal Life Insurance Public Company Ltd, Financial Report 2024 (English translation of audited consolidated FS): Major Shareholders section and note 34",https://www.universallife.com.cy/library/download/NjY3,1,medium,"Held by ""Hellenic Bank Public Company Ltd"" (renamed Eurobank Limited). Not verified at 31 Dec 2025: Eurobank AFR 2025 does not mention Universal Life."
CY_UNIVERSAL_LIFE,UNRESOLVED_MAGNUM_INVESTMENTS,6.44,equity,2025-04-07,"Universal Life Insurance Public Company Ltd, Financial Report 2024 (English translation of audited consolidated FS): Major Shareholders section and note 34",https://www.universallife.com.cy/library/download/NjY3,1,high,
CY_UNIVERSAL_LIFE,UNRESOLVED,16.60,equity,2025-04-07,"Universal Life Insurance Public Company Ltd, Financial Report 2024 (English translation of audited consolidated FS): Major Shareholders section and note 34",https://www.universallife.com.cy/library/download/NjY3,1,medium,Residual 100-58.38-18.58-6.44; described as widely dispersed (company not listed). Director George A. Georghiou 5.85% (direct+indirect) may overlap with Magnum Investments - not stated.
CY_PHOTOS_PHOTIADES_GROUP,PERSON_PHOTIADES_PAVLOS,,equity,2025-04-07,"Universal Life Insurance Public Company Ltd, Financial Report 2024 (English translation of audited consolidated FS): Major Shareholders section and note 34",https://www.universallife.com.cy/library/download/NjY3,1,low,"Share of PPG not disclosed. Look-through: Pavlos Photiades holds 23.96% of Universal Life directly and indirectly (incl. family/affiliates), presumably mainly via PPG. Note 34 says no final individual controls Universal."
CY_PHOTOS_PHOTIADES_GROUP,PERSON_PHOTIADES_ALEXIS,,equity,2025-04-07,"Universal Life Insurance Public Company Ltd, Financial Report 2024 (English translation of audited consolidated FS): Major Shareholders section and note 34",https://www.universallife.com.cy/library/download/NjY3,1,low,Share of PPG not disclosed. Look-through: 19.31% of Universal Life direct and indirect.
CY_PHOTOS_PHOTIADES_GROUP,UNRESOLVED,,equity,2025-04-07,"Universal Life Insurance Public Company Ltd, Financial Report 2024 (English translation of audited consolidated FS): Major Shareholders section and note 34",https://www.universallife.com.cy/library/download/NjY3,1,low,Remaining owners of PPG not disclosed.
CY_ATLANTIC_INSURANCE,PERSON_PYRISHIS_EMILIOS,24.17,equity,2025-12-31,"Atlantic Insurance Co. Public Ltd, Investor Relations - Main Shareholders (reference date 31/12/25)",https://www.atlantic.com.cy/en/investor-relations/shareholders,2,high,"Total shares 38,943,671. incl. related persons"
CY_ATLANTIC_INSURANCE,PERSON_FRANGOULLIS_ANDREAS,21.22,equity,2025-12-31,"Atlantic Insurance Co. Public Ltd, Investor Relations - Main Shareholders (reference date 31/12/25)",https://www.atlantic.com.cy/en/investor-relations/shareholders,2,high,"Total shares 38,943,671. incl. related persons"
