entity_id,legal_name,country_of_incorporation,nace_code,sector,fiscal_year,revenue_eur_m,operating_profit_eur_m,ebitda_eur_m,employees,total_assets_eur_m,personnel_costs_eur_m,taxes_eur_m,dividends_paid_eur_m,source,source_url,source_tier,confidence,notes
CY_ERB_CYPRUS_INSURANCE_HOLDINGS,ERB Cyprus Insurance Holdings Limited (formerly CNP Cyprus Insurance Holdings Limited),CY,64,holding,,,,,,,,,,Eurobank S.A. Annual Financial Report 2025 (Report of the Directors; note 23.4; Group companies table with footnote (2)),https://www.stockwatch.com.cy/storage/symbol_announcements/69ae62e6d9336.pdf,1,high,Holding company of ERB Cyprialife Ltd and ERB Asfalistiki Ltd. Acquired 100% by Hellenic Bank (now Eurobank Limited) from CNP Assurances on 16 Apr 2025 for EUR182m; renamed May 2025. The former CNP Assurances -> La Banque Postale -> La Poste -> CDC/French State chain therefore no longer applies after 16 Apr 2025.
CY_ERB_CYPRIALIFE,ERB Cyprialife Ltd (formerly CNP Cyprialife Ltd),CY,65,insurance,2025,,,,,,,,,"Insurance Association of Cyprus, Annual Statistics 2025 (Annual_Statistics_2025_Final.xlsx)",https://www.iac.org.cy/en/statistics/iac-statistical-results,1,medium,"Largest life-plus-non-life group together with ERB Asfalistiki by 2025 gross premiums. IAC 2025: life gross premiums incl. A&H EUR247.690m (life 230.503 + A&H 17.187), market share 27.47% of life incl. A&H. Gross written premiums are NOT IFRS 17 revenue, so revenue left blank; no company financial statements retrieved. Oct 2025: portfolio of Hellenic Life Insurance Company Ltd transferred into ERB Cyprialife (Eurobank AFR 2025)."
CY_ERB_ASFALISTIKI,ERB Asfalistiki Ltd (formerly CNP Asfalistiki Ltd),CY,65,insurance,2025,,,,,,,,,"Insurance Association of Cyprus, Annual Statistics 2025 (Annual_Statistics_2025_Final.xlsx)",https://www.iac.org.cy/en/statistics/iac-statistical-results,1,medium,"IAC 2025: non-life gross written premiums EUR121.923m (largest non-life insurer; 18.43% share incl. life-company A&H, 22.38% excl.). GWP is not IFRS 17 revenue; revenue left blank. Oct 2025: Pancyprian Insurance Ltd portfolio transferred in. PENDING (not an edge): per Eurobank AFR 2025, term sheet of 13 Oct 2025 for Fairfax affiliates to acquire 45% of ERB Asfalistiki for EUR59m, with right to acquire remaining 55% over time."
CY_EUROLIFE,EuroLife Ltd,CY,65,insurance,2025,,,,,,,,,"Insurance Association of Cyprus, Annual Statistics 2025 (Annual_Statistics_2025_Final.xlsx)",https://www.iac.org.cy/en/statistics/iac-statistical-results,1,medium,"Subsidiary of Bank of Cyprus group. IAC 2025: life gross premiums incl. A&H EUR257.604m (life 229.535 + A&H 28.069), 28.57% share (largest single life insurer). Ethniki Insurance Cyprus Ltd (IAC 2025 life premiums EUR19.483m, reported separately) was absorbed into EuroLife in Dec 2025 (BOCH AFR 2025 note 49). BOC group net insurance result 2025 EUR59m is group-level (both insurers), per BOCH AFR 2025. GWP not IFRS 17 revenue; revenue blank."
CY_GIC,General Insurance of Cyprus Ltd,CY,65,insurance,2025,,,,,,,,,"Insurance Association of Cyprus, Annual Statistics 2025 (Annual_Statistics_2025_Final.xlsx)",https://www.iac.org.cy/en/statistics/iac-statistical-results,1,medium,"Subsidiary of Bank of Cyprus group. IAC 2025: non-life GWP EUR73.690m (11.14% share incl. A&H). Ethniki General Insurance Cyprus Ltd (IAC 2025 non-life GWP EUR22.002m, reported separately) absorbed Dec 2025. GWP not IFRS 17 revenue; revenue blank."
CY_UNIVERSAL_LIFE,Universal Life Insurance Public Company Limited,CY,65,insurance,2025,62.5,,,,417.9,,,,"Universal Life Insurance Public Company Ltd, Annual Report 2025 (Financial performance highlights)",https://www.universallife.com.cy/library/download/MTE2Mg==,2,medium,"FY2025 figures are GROUP level (includes Romanian property subsidiaries Priority Properties Srl / Unilife Properties Srl; insurance operations are Cyprus) from the Annual Report 2025 highlights: insurance revenue EUR62.5m (entered as revenue), profit before tax EUR13.2m, profit after tax EUR11.0m, total assets EUR417.9m. Operating profit not reported as such. Dividends: cash dividend EUR0.20/share plus distribution in specie of Universal Golf Enterprises PLC shares - total cash amount not printed, left blank. Employees: 157 average in FY2024 (Financial Report 2024), FY2025 not found. IAC 2025 life premiums incl. A&H EUR130.052m (14.42% share; 3rd largest life insurer). PENDING: Dec 2025 Alpha Bank agreement to acquire Altius Insurance and merge it with Universal, Alpha Bank group to hold majority of combined entity; completion expected Q3 2026 - completion NOT verified as of 2026-09-24."
CY_PHOTOS_PHOTIADES_GROUP,Photos Photiades Group Ltd,CY,64,holding,,,,,,,,,,"Universal Life Insurance Public Company Ltd, Financial Report 2024 (English translation of audited consolidated FS): Major Shareholders section and note 34",https://www.universallife.com.cy/library/download/NjY3,1,high,"Registered in Cyprus, registered office 8 Stasinou Street, Nicosia; ultimate parent of Universal Life (note 34). Its own shareholders not disclosed; Photiades family members hold indirect stakes in Universal (see person edges)."
UNRESOLVED_MAGNUM_INVESTMENTS,Magnum Investments Ltd,UNRESOLVED,,holding,,,,,,,,,,"Universal Life Insurance Public Company Ltd, Financial Report 2024 (English translation of audited consolidated FS): Major Shareholders section and note 34",https://www.universallife.com.cy/library/download/NjY3,1,medium,"Holds 6.44% of Universal Life. Country and owners not documented (possibly linked to director George A. Georghiou, 5.85% direct/indirect, but not stated)."
PERSON_PHOTIADES_PAVLOS,Pavlos Ph. Photiades,UNRESOLVED,,person,,,,,,,,,,"Universal Life Insurance Public Company Ltd, Financial Report 2024 (English translation of audited consolidated FS): Major Shareholders section and note 34",https://www.universallife.com.cy/library/download/NjY3,1,medium,Chairman of Universal Life and CEO of Photos Photiades Group; residence not documented in sources consulted (Cyprus-based group; nationality not stated).
PERSON_PHOTIADES_ALEXIS,Alexis Ph. Photiades,UNRESOLVED,,person,,,,,,,,,,"Universal Life Insurance Public Company Ltd, Financial Report 2024 (English translation of audited consolidated FS): Major Shareholders section and note 34",https://www.universallife.com.cy/library/download/NjY3,1,medium,Director of Universal Life; residence and nationality not documented in sources consulted.
