entity_id,legal_name,country_of_incorporation,nace_code,sector,fiscal_year,revenue_eur_m,operating_profit_eur_m,ebitda_eur_m,employees,total_assets_eur_m,personnel_costs_eur_m,taxes_eur_m,dividends_paid_eur_m,source,source_url,source_tier,confidence,notes
CY_BOC_PCL,Bank of Cyprus Public Company Ltd,CY,64,banking,,,,,,,,,,"Bank of Cyprus Holdings plc, Annual Financial Report 2025 (published 31 Mar 2026)",https://www.bankofcyprus.com/globalassets/group/investor-relations/annual-reports/english/20260331-afr-boch-group-31.12.2025.pdf,1,high,Operating bank; 100% subsidiary of IE_BOC_HOLDINGS. Financials reported at BOCH group level (see IE_BOC_HOLDINGS row).
IE_BOC_HOLDINGS,Bank of Cyprus Holdings Public Limited Company,IE,64,banking,2025,1039.5,548.9,,2873,28568.4,225.2,65.8,280.4,"Bank of Cyprus Holdings plc, Annual Financial Report 2025 (published 31 Mar 2026)",https://www.bankofcyprus.com/globalassets/group/investor-relations/annual-reports/english/20260331-afr-boch-group-31.12.2025.pdf,1,high,"Incorporated in Ireland (co. no. 585903), 'domiciled in Ireland and tax resident in Cyprus' (AFR note 1). Listed ATHEX/LSE. Group figures; AFR: 'Group's significant geographical area is Cyprus'; avg FTE 2,866 Cyprus + 7 other countries. revenue = total operating income EUR1,039.477m; operating_profit column holds PROFIT BEFORE TAX (EUR548.878m) - banks have no operating-profit line; taxes = income tax expense; dividends = cash dividend paid on ordinary shares in 2025 (EUR280.356m; excl. EUR30m buyback). Group includes EuroLife and General Insurance of Cyprus (100%). No shareholder-by-residence breakdown found in AFR 2025, FY2025 results presentation, or IR shareholder pages."
CY_LAMESA_INVESTMENTS,Lamesa Investments Limited,CY,64,holding,,,,,,,,,,"Lamesa Investments Ltd v Cynergy Bank Ltd [2019] EWHC 1877 (Comm), judgment 12 Sep 2019, para on parties",https://www.brickcourt.co.uk/images/uploads/documents/CL-2018-000826_Lamesa_v_Cynergy_Final_Judgment-11.pdf,1,medium,Cyprus-incorporated holding; wholly owned by Lamesa Group Inc (BVI) per 2019 judgment. Ownership chain as of 2019; not re-verified for 2025-26. US-sanctioned (SDN-linked) since 2018.
VG_LAMESA_GROUP_INC,Lamesa Group Incorporated,VG,,holding,,,,,,,,,,"Lamesa Investments Ltd v Cynergy Bank Ltd [2019] EWHC 1877 (Comm), judgment 12 Sep 2019, para on parties",https://www.brickcourt.co.uk/images/uploads/documents/CL-2018-000826_Lamesa_v_Cynergy_Final_Judgment-11.pdf,1,medium,BVI company; wholly owned by Viktor Vekselberg per 2019 judgment.
PERSON_VEKSELBERG_VIKTOR,Viktor Vekselberg,UNRESOLVED,,person,,,,,,,,,,"Lamesa Investments Ltd v Cynergy Bank Ltd [2019] EWHC 1877 (Comm), judgment 12 Sep 2019, para on parties",https://www.brickcourt.co.uk/images/uploads/documents/CL-2018-000826_Lamesa_v_Cynergy_Final_Judgment-11.pdf,1,medium,Judgment describes him as 'a Russian national' - nationality only: RU. Country of residence not documented in consulted sources.
US_SENVEST_MANAGEMENT,Senvest Management LLC,US,66,fund_manager,,,,,,,,,,"Bank of Cyprus Holdings plc, Annual Financial Report 2025 (published 31 Mar 2026)",https://www.bankofcyprus.com/globalassets/group/investor-relations/annual-reports/english/20260331-afr-boch-group-31.12.2025.pdf,1,medium,Investment manager (New York); holding is on behalf of managed funds - beneficial owners' residence UNRESOLVED. Country = manager's location (not verified from a filing; widely reported as New York).
US_WELLINGTON_MANAGEMENT,Wellington Management Group LLP,US,66,fund_manager,,,,,,,,,,"Bank of Cyprus Holdings plc, Annual Financial Report 2025 (published 31 Mar 2026)",https://www.bankofcyprus.com/globalassets/group/investor-relations/annual-reports/english/20260331-afr-boch-group-31.12.2025.pdf,1,medium,"Investment manager (Boston); holds for client funds - beneficial owners' residence UNRESOLVED. Country = manager's location (general knowledge, not from filing)."
US_EATON_VANCE_MANAGEMENT,Eaton Vance Management,US,66,fund_manager,,,,,,,,,,"Bank of Cyprus Holdings plc, Annual Financial Report 2025 (published 31 Mar 2026)",https://www.bankofcyprus.com/globalassets/group/investor-relations/annual-reports/english/20260331-afr-boch-group-31.12.2025.pdf,1,medium,"Investment manager (Morgan Stanley group); holds for client funds - beneficial owners' residence UNRESOLVED. Country = manager's location (general knowledge, not from filing)."
CY_BANK_EMPLOYEES_PROVIDENT_FUND,Provident Fund of the Cyprus Bank Employees,CY,65,pension_fund,,,,,,,,,,"Bank of Cyprus Holdings plc, Annual Financial Report 2025 (published 31 Mar 2026)",https://www.bankofcyprus.com/globalassets/group/investor-relations/annual-reports/english/20260331-afr-boch-group-31.12.2025.pdf,1,high,Cypriot employee provident fund; beneficiaries are Cyprus bank employees (residence assumed CY - not documented).
UNRESOLVED_OSOME_INVESTMENTS,Osome Investments (Limited),UNRESOLVED,,holding,,,,,,,,,,"Bank of Cyprus Holdings plc, Annual Financial Report 2025 (published 31 Mar 2026)",https://www.bankofcyprus.com/globalassets/group/investor-relations/annual-reports/english/20260331-afr-boch-group-31.12.2025.pdf,1,low,3.40% holder of BOCH. Country of incorporation and ultimate owner NOT found in any consulted source.
