file,dataset,provider,url,reference_year,publication_date,download_date,sha256,description,format_notes
0610010E.xlsx,CYSTAT Annual NA 0610010E,CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Annual%20National%20Accounts/0610010E.px,1995-2025,2026-04-20,2026-09-24,601bd1c92739d4fac6479ee569abd6769adac8bda816c55a4840c67b147c19c7,"Gross Domestic Product and Gross National Income, Annual (all measures)",PxWeb API POST (all values) -> xlsx; one sheet; see STRUCTURE.md
0610020E.xlsx,CYSTAT Annual NA 0610020E,CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Annual%20National%20Accounts/0610020E.px,1995-2025,2026-04-20,2026-09-24,4f9e66b74f98ec530fa53e881a6b6e0bbbeb8650054c99dc9af8d6e65af32c2e,"Gross Domestic Product (Production Approach), Annual (all measures)",PxWeb API POST (all values) -> xlsx; one sheet; see STRUCTURE.md
0610030E.xlsx,CYSTAT Annual NA 0610030E,CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Annual%20National%20Accounts/0610030E.px,1995-2025,2026-04-20,2026-09-24,647bdd6a7009a33c63d5bb87ceb486e41d68ed5def2e9c8d6a09d232c8eb8694,"Gross Domestic Product (Expenditure Approach), Annual (all measures)",PxWeb API POST (all values) -> xlsx; one sheet; see STRUCTURE.md
0610040E.xlsx,CYSTAT Annual NA 0610040E,CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Annual%20National%20Accounts/0610040E.px,1995-2025,2026-04-20,2026-09-24,9bc3d8c130c1e8f6bce87af326bbdfb1a5544fc1e71a6a20b807cdd3f4f0c604,"Gross Domestic Product (Income Approach), Annual (all measures)",PxWeb API POST (all values) -> xlsx; one sheet; see STRUCTURE.md
0610060E.xlsx,CYSTAT Annual NA 0610060E,CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Annual%20National%20Accounts/0610060E.px,1995-2025,2026-04-20,2026-09-24,4ae5c5f8f773107ee2c7ee7604075735b3d73c47c4a32e010e2457cab48320d1,"Employment in Persons and Hours Worked by Economic Activity, Annual (all measures)",PxWeb API POST (all values) -> xlsx; one sheet; see STRUCTURE.md
0630030E.xlsx,CYSTAT Sector accounts 0630030E,CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Sector%20Accounts/0630030E.px,2010-2024,2025-10-31,2026-09-24,1e8a18359eb57c6df48df311f2e85d90c722f9ab0b8d8a6123e802b57cc26924,"Non-Financial Accounts by Institutional Sector, Annual (all measures)",PxWeb API POST (all values) -> xlsx; one sheet; see STRUCTURE.md
0640010E_CP.xlsx,CYSTAT SUIOT 0640010E,CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Supply%2C%20Use%20and%20Input-Output%20Tables/0640010E.px,2010-2022,2026-03-26,2026-09-24,e9ba9ce990ff0af9a5a9873e602a92c9ac504e876594f7bdaf28c4e8193b7b0d,"Supply Table at Basic Prices, Including Transformation Into Purchasers' Prices, Annual - Current Prices","PxWeb API POST (all values, one MEASURE) -> xlsx; one sheet, 13 stacked year blocks 2010-2022; Million EUR; symbols c=confidential, N.A.=not applicable, ...=not available; see STRUCTURE.md"
0640010E_PYP.xlsx,CYSTAT SUIOT 0640010E,CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Supply%2C%20Use%20and%20Input-Output%20Tables/0640010E.px,2010-2022,2026-03-26,2026-09-24,a1c0290d31d2aa22ff5eb8171779ad5f2ce7c6c02a6b7f83c125709d9abb39d8,"Supply Table at Basic Prices, Including Transformation Into Purchasers' Prices, Annual - Previous Year Prices","PxWeb API POST (all values, one MEASURE) -> xlsx; one sheet, 13 stacked year blocks 2010-2022; Million EUR; symbols c=confidential, N.A.=not applicable, ...=not available; see STRUCTURE.md; PYP values are '...' for 2010-2014 (only 2015-2022 populated)"
0640015E_CP.xlsx,CYSTAT SUIOT 0640015E,CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Supply%2C%20Use%20and%20Input-Output%20Tables/0640015E.px,2010-2022,2026-03-26,2026-09-24,aa191e1de89026633d894b1302da00b19bbe97a8e221c258e0f8ca90b915c6be,"Use Table at Purchasers' Prices, Annual - Current Prices","PxWeb API POST (all values, one MEASURE) -> xlsx; one sheet, 13 stacked year blocks 2010-2022; Million EUR; symbols c=confidential, N.A.=not applicable, ...=not available; see STRUCTURE.md"
0640015E_PYP.xlsx,CYSTAT SUIOT 0640015E,CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Supply%2C%20Use%20and%20Input-Output%20Tables/0640015E.px,2010-2022,2026-03-26,2026-09-24,1791ff8be60f6e430f3e646769e231480a0980e99904bbcc07aced2d2ea01551,"Use Table at Purchasers' Prices, Annual - Previous Year Prices","PxWeb API POST (all values, one MEASURE) -> xlsx; one sheet, 13 stacked year blocks 2010-2022; Million EUR; symbols c=confidential, N.A.=not applicable, ...=not available; see STRUCTURE.md; PYP values are '...' for 2010-2014 (only 2015-2022 populated)"
