file,dataset_code,dataset_title,provider,url,filters,download_date,sha256,rows,last_update
data/raw/eurostat/nama_10_gdp__geo-CY_unit-CLV20_MEUR+CP_MEUR_t-2010-.parquet,nama_10_gdp,"Gross domestic product (GDP) and main components (output, expenditure and income) - annual data",Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/nama_10_gdp/.CP_MEUR+CLV20_MEUR..CY/?format=SDMX-CSV&compressed=false&startPeriod=2010,"{'geo': ['CY'], 'unit': ['CP_MEUR', 'CLV20_MEUR'], 'startPeriod': 2010, 'endPeriod': None}",2026-09-24,bd49aee9f0e81f340f9c796f536c492484c036fc96e266d134c177873a670522,990,2026-09-21
data/raw/eurostat/nama_10_gdp__geo-EU27_2020_unit-CLV20_MEUR+CP_MEUR_t-2010-.parquet,nama_10_gdp,"Gross domestic product (GDP) and main components (output, expenditure and income) - annual data",Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/nama_10_gdp/.CP_MEUR+CLV20_MEUR..EU27_2020/?format=SDMX-CSV&compressed=false&startPeriod=2010,"{'geo': ['EU27_2020'], 'unit': ['CP_MEUR', 'CLV20_MEUR'], 'startPeriod': 2010, 'endPeriod': None}",2026-09-24,4fd27f42ae07b9b14bacfe41c6fa11c340658d936c0c6b64193e19101ce76cb5,940,2026-09-21
data/raw/eurostat/nama_10_pp__geo-CY.parquet,nama_10_pp,Gross national income (GNI) per capita,Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/nama_10_pp/..CY/?format=SDMX-CSV&compressed=false,"{'geo': ['CY'], 'startPeriod': None, 'endPeriod': None}",2026-09-24,4595fd6ca566f13ae47165c927e3fddce41313d2642127cdcf2a84158ea0f04d,4,2026-01-05
data/raw/eurostat/nasa_10_nf_tr__geo-CY_sector-S1+S11+S12+S13+S14_S15+S2_unit-CP_MEUR_t-2010-.parquet,nasa_10_nf_tr,Non-financial transactions - annual data,Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/nasa_10_nf_tr/.CP_MEUR...S1+S11+S12+S13+S14_S15+S2.CY/?format=SDMX-CSV&compressed=false&startPeriod=2010,"{'geo': ['CY'], 'sector': ['S1', 'S11', 'S12', 'S13', 'S14_S15', 'S2'], 'unit': ['CP_MEUR'], 'startPeriod': 2010, 'endPeriod': None}",2026-09-24,cf3e3d05455206d3aced111275515fe22f17334e24e5690636985d44fde28ef5,11641,2026-07-27
data/raw/eurostat/nasa_10_nf_tr__geo-EU27_2020_sector-S1+S11+S12+S13+S14_S15+S2_unit-CP_MEUR_t-2010-.parquet,nasa_10_nf_tr,Non-financial transactions - annual data,Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/nasa_10_nf_tr/.CP_MEUR...S1+S11+S12+S13+S14_S15+S2.EU27_2020/?format=SDMX-CSV&compressed=false&startPeriod=2010,"{'geo': ['EU27_2020'], 'sector': ['S1', 'S11', 'S12', 'S13', 'S14_S15', 'S2'], 'unit': ['CP_MEUR'], 'startPeriod': 2010, 'endPeriod': None}",2026-09-24,86546cde1a0f02f1941865625f93ffb56c06eba8ca3b43a81c99610ac88d2f2e,9440,2026-07-27
data/raw/eurostat/nama_10_a64__geo-CY_unit-CLV20_MEUR+CP_MEUR_t-2010-.parquet,nama_10_a64,Gross value added and income by detailed industry (NACE Rev.2 ),Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/nama_10_a64/.CP_MEUR+CLV20_MEUR...CY/?format=SDMX-CSV&compressed=false&startPeriod=2010,"{'geo': ['CY'], 'unit': ['CP_MEUR', 'CLV20_MEUR'], 'startPeriod': 2010, 'endPeriod': None}",2026-09-24,bd62265ea4088780c9ae256147243834cb30f87dc633059828ec4ff9184e26a2,13740,2026-09-23
data/raw/eurostat/nama_10_a64_e__geo-CY_na_item-EMP_DC+SAL_DC+SELF_DC_unit-THS_HW+THS_PER_t-2010-.parquet,nama_10_a64_e,Employment by detailed industry (NACE Rev.2) - national accounts,Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/nama_10_a64_e/.THS_PER+THS_HW..EMP_DC+SAL_DC+SELF_DC.CY/?format=SDMX-CSV&compressed=false&startPeriod=2010,"{'geo': ['CY'], 'na_item': ['EMP_DC', 'SAL_DC', 'SELF_DC'], 'unit': ['THS_PER', 'THS_HW'], 'startPeriod': 2010, 'endPeriod': None}",2026-09-24,82ef2571f9d8011f4ed412d5682731d179ffa0792c5904ea4409e4660bb68b94,8640,2026-09-23
data/raw/eurostat/naio_10_cp15__geo-CY_unit-MIO_EUR.parquet,naio_10_cp15,Supply table at basic prices incl. transformation into purchasers' prices,Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/naio_10_cp15/.MIO_EUR....CY/?format=SDMX-CSV&compressed=false,"{'geo': ['CY'], 'unit': ['MIO_EUR'], 'startPeriod': None, 'endPeriod': None}",2026-09-24,4e4b5bb8cab7d776c10bcbb09bea8feecc476491848360217589b130458ae4fa,68109,2026-09-21
data/raw/eurostat/naio_10_cp16__geo-CY_unit-MIO_EUR.parquet,naio_10_cp16,Use table at purchasers' prices,Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/naio_10_cp16/.MIO_EUR....CY/?format=SDMX-CSV&compressed=false,"{'geo': ['CY'], 'unit': ['MIO_EUR'], 'startPeriod': None, 'endPeriod': None}",2026-09-24,d8d0f660d61a4513b12162fcee5a4a6a852ce278290761c428676e3005b66363,80384,2026-09-21
data/raw/eurostat/naio_10_cp1610__geo-CY_unit-MIO_EUR.parquet,naio_10_cp1610,Use table at basic prices,Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/naio_10_cp1610/.MIO_EUR....CY/?format=SDMX-CSV&compressed=false,"{'geo': ['CY'], 'unit': ['MIO_EUR'], 'startPeriod': None, 'endPeriod': None}",2026-09-24,0ad3ce973bd6b46371d87466e36a55168e47c0c132870c0866078b6c9fcb8d90,233142,2026-09-17
