dataset,provider,URL,reference_year,publication_date,download_date,license,geographic_scope,industry_resolution,variables,processing_script,checksum
"CYSTAT Annual NA 0610010E: Gross Domestic Product and Gross National Income, Annual (all measures)",CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Annual%20National%20Accounts/0610010E.px,1995-2025,2026-04-20,2026-09-24,CYSTAT terms of use - reuse terms NOT verified for this release; raw files are not redistributed (re-downloaded by make ingest),Cyprus (government-controlled area),A*64 / sectors,"Gross Domestic Product and Gross National Income, Annual (all measures)",src/cvr/ingest/cystat_fetch.py -> src/cvr/ingest/cystat.py,601bd1c92739d4fac6479ee569abd6769adac8bda816c55a4840c67b147c19c7
"CYSTAT Annual NA 0610020E: Gross Domestic Product (Production Approach), Annual (all measures)",CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Annual%20National%20Accounts/0610020E.px,1995-2025,2026-04-20,2026-09-24,CYSTAT terms of use - reuse terms NOT verified for this release; raw files are not redistributed (re-downloaded by make ingest),Cyprus (government-controlled area),A*64 / sectors,"Gross Domestic Product (Production Approach), Annual (all measures)",src/cvr/ingest/cystat_fetch.py -> src/cvr/ingest/cystat.py,4f9e66b74f98ec530fa53e881a6b6e0bbbeb8650054c99dc9af8d6e65af32c2e
"CYSTAT Annual NA 0610030E: Gross Domestic Product (Expenditure Approach), Annual (all measures)",CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Annual%20National%20Accounts/0610030E.px,1995-2025,2026-04-20,2026-09-24,CYSTAT terms of use - reuse terms NOT verified for this release; raw files are not redistributed (re-downloaded by make ingest),Cyprus (government-controlled area),A*64 / sectors,"Gross Domestic Product (Expenditure Approach), Annual (all measures)",src/cvr/ingest/cystat_fetch.py -> src/cvr/ingest/cystat.py,647bdd6a7009a33c63d5bb87ceb486e41d68ed5def2e9c8d6a09d232c8eb8694
"CYSTAT Annual NA 0610040E: Gross Domestic Product (Income Approach), Annual (all measures)",CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Annual%20National%20Accounts/0610040E.px,1995-2025,2026-04-20,2026-09-24,CYSTAT terms of use - reuse terms NOT verified for this release; raw files are not redistributed (re-downloaded by make ingest),Cyprus (government-controlled area),A*64 / sectors,"Gross Domestic Product (Income Approach), Annual (all measures)",src/cvr/ingest/cystat_fetch.py -> src/cvr/ingest/cystat.py,9bc3d8c130c1e8f6bce87af326bbdfb1a5544fc1e71a6a20b807cdd3f4f0c604
"CYSTAT Annual NA 0610060E: Employment in Persons and Hours Worked by Economic Activity, Annual (all measures)",CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Annual%20National%20Accounts/0610060E.px,1995-2025,2026-04-20,2026-09-24,CYSTAT terms of use - reuse terms NOT verified for this release; raw files are not redistributed (re-downloaded by make ingest),Cyprus (government-controlled area),A*64 / sectors,"Employment in Persons and Hours Worked by Economic Activity, Annual (all measures)",src/cvr/ingest/cystat_fetch.py -> src/cvr/ingest/cystat.py,4ae5c5f8f773107ee2c7ee7604075735b3d73c47c4a32e010e2457cab48320d1
"CYSTAT Sector accounts 0630030E: Non-Financial Accounts by Institutional Sector, Annual (all measures)",CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Sector%20Accounts/0630030E.px,2010-2024,2025-10-31,2026-09-24,CYSTAT terms of use - reuse terms NOT verified for this release; raw files are not redistributed (re-downloaded by make ingest),Cyprus (government-controlled area),A*64 / sectors,"Non-Financial Accounts by Institutional Sector, Annual (all measures)",src/cvr/ingest/cystat_fetch.py -> src/cvr/ingest/cystat.py,1e8a18359eb57c6df48df311f2e85d90c722f9ab0b8d8a6123e802b57cc26924
"CYSTAT SUIOT 0640010E: Supply Table at Basic Prices, Including Transformation Into Purchasers' Prices, Annual - Current Prices",CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Supply%2C%20Use%20and%20Input-Output%20Tables/0640010E.px,2010-2022,2026-03-26,2026-09-24,CYSTAT terms of use - reuse terms NOT verified for this release; raw files are not redistributed (re-downloaded by make ingest),Cyprus (government-controlled area),64 CPA/NACE (A*64 with CYSTAT merges),"Supply Table at Basic Prices, Including Transformation Into Purchasers' Prices, Annual - Current Prices",src/cvr/ingest/cystat_fetch.py -> src/cvr/ingest/cystat.py,e9ba9ce990ff0af9a5a9873e602a92c9ac504e876594f7bdaf28c4e8193b7b0d
"CYSTAT SUIOT 0640010E: Supply Table at Basic Prices, Including Transformation Into Purchasers' Prices, Annual - Previous Year Prices",CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Supply%2C%20Use%20and%20Input-Output%20Tables/0640010E.px,2010-2022,2026-03-26,2026-09-24,CYSTAT terms of use - reuse terms NOT verified for this release; raw files are not redistributed (re-downloaded by make ingest),Cyprus (government-controlled area),64 CPA/NACE (A*64 with CYSTAT merges),"Supply Table at Basic Prices, Including Transformation Into Purchasers' Prices, Annual - Previous Year Prices",src/cvr/ingest/cystat_fetch.py -> src/cvr/ingest/cystat.py,a1c0290d31d2aa22ff5eb8171779ad5f2ce7c6c02a6b7f83c125709d9abb39d8
"CYSTAT SUIOT 0640015E: Use Table at Purchasers' Prices, Annual - Current Prices",CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Supply%2C%20Use%20and%20Input-Output%20Tables/0640015E.px,2010-2022,2026-03-26,2026-09-24,CYSTAT terms of use - reuse terms NOT verified for this release; raw files are not redistributed (re-downloaded by make ingest),Cyprus (government-controlled area),64 CPA/NACE (A*64 with CYSTAT merges),"Use Table at Purchasers' Prices, Annual - Current Prices",src/cvr/ingest/cystat_fetch.py -> src/cvr/ingest/cystat.py,aa191e1de89026633d894b1302da00b19bbe97a8e221c258e0f8ca90b915c6be
"CYSTAT SUIOT 0640015E: Use Table at Purchasers' Prices, Annual - Previous Year Prices",CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Supply%2C%20Use%20and%20Input-Output%20Tables/0640015E.px,2010-2022,2026-03-26,2026-09-24,CYSTAT terms of use - reuse terms NOT verified for this release; raw files are not redistributed (re-downloaded by make ingest),Cyprus (government-controlled area),64 CPA/NACE (A*64 with CYSTAT merges),"Use Table at Purchasers' Prices, Annual - Previous Year Prices",src/cvr/ingest/cystat_fetch.py -> src/cvr/ingest/cystat.py,1791ff8be60f6e430f3e646769e231480a0980e99904bbcc07aced2d2ea01551
